date,Open,High,Low,Close,Adjusted Close,Volume,Dividend Amount,Split Coefficient,Stock Name
2022-09-23,151.19,151.47,148.56,150.43,150.180386696,96029909,0.0000,1.0,AAPL
2022-09-22,152.38,154.47,150.91,152.74,152.48655364,86264792,0.0000,1.0,AAPL
2022-09-21,157.34,158.74,153.6,153.72,153.464927494,101696790,0.0000,1.0,AAPL
2022-09-20,153.4,158.08,153.08,156.9,156.639650819,107689796,0.0000,1.0,AAPL
2022-09-19,149.31,154.56,149.1,154.48,154.223666402,81474246,0.0000,1.0,AAPL
2022-09-16,151.21,151.35,148.37,150.7,150.449938677,162278841,0.0000,1.0,AAPL
2022-09-15,154.65,155.24,151.38,152.37,152.117167593,90481110,0.0000,1.0,AAPL
2022-09-14,154.785,157.1,153.6106,155.31,155.052289157,87965409,0.0000,1.0,AAPL
2022-09-13,159.9,160.54,153.37,153.84,153.584728375,122656614,0.0000,1.0,AAPL
2022-09-12,159.59,164.26,159.3,163.43,163.158815381,104955962,0.0000,1.0,AAPL
2022-09-09,155.47,157.82,154.75,157.37,157.108870933,68081006,0.0000,1.0,AAPL
2022-09-08,154.64,156.36,152.68,154.46,154.203699589,84923847,0.0000,1.0,AAPL
2022-09-07,154.825,156.67,153.61,155.96,155.701210591,87449574,0.0000,1.0,AAPL
2022-09-06,156.47,157.09,153.69,154.53,154.273583436,73295539,0.0000,1.0,AAPL
2022-09-02,159.75,160.362,154.965,155.81,155.551459491,76957768,0.0000,1.0,AAPL
2022-09-01,156.64,158.42,154.67,157.96,157.697891927,74229896,0.0000,1.0,AAPL
2022-08-31,160.305,160.58,157.14,157.22,156.959119833,87991091,0.0000,1.0,AAPL
2022-08-30,162.13,162.56,157.72,158.91,158.646315562,77906197,0.0000,1.0,AAPL
2022-08-29,161.145,162.9,159.82,161.38,161.112217012,72724452,0.0000,1.0,AAPL
2022-08-26,170.57,171.05,163.56,163.62,163.348500108,78960980,0.0000,1.0,AAPL
2022-08-25,168.78,170.14,168.35,170.03,169.74786379,51218209,0.0000,1.0,AAPL
2022-08-24,167.32,168.11,166.245,167.53,167.25201212,53841524,0.0000,1.0,AAPL
2022-08-23,167.08,168.71,166.65,167.23,166.95250992,54147079,0.0000,1.0,AAPL
2022-08-22,169.69,169.86,167.135,167.57,167.291945747,69026809,0.0000,1.0,AAPL
2022-08-19,173.03,173.74,171.3101,171.52,171.235391386,70346295,0.0000,1.0,AAPL
2022-08-18,173.75,174.9,173.12,174.15,173.861027343,62290075,0.0000,1.0,AAPL
2022-08-17,172.77,176.15,172.57,174.55,174.26036361,79542037,0.0000,1.0,AAPL
2022-08-16,172.78,173.71,171.6618,173.03,172.742885795,56377050,0.0000,1.0,AAPL
2022-08-15,171.52,173.39,171.345,173.19,172.902620302,54091694,0.0000,1.0,AAPL
2022-08-12,169.82,172.17,169.4,172.1,171.814428973,68039382,0.0000,1.0,AAPL
2022-08-11,170.06,170.99,168.19,168.49,168.210419162,57149159,0.0000,1.0,AAPL
2022-08-10,167.68,169.34,166.9,169.24,168.959174663,70170540,0.0000,1.0,AAPL
2022-08-09,164.02,165.82,163.25,164.92,164.646342977,63135503,0.0000,1.0,AAPL
2022-08-08,166.37,167.81,164.2,164.87,164.596425943,60362338,0.0000,1.0,AAPL
2022-08-05,163.21,165.85,163.0,165.35,165.075629464,56696985,0.2300,1.0,AAPL
2022-08-04,166.005,167.19,164.43,165.81,165.304928865,55474144,0.0000,1.0,AAPL
2022-08-03,160.84,166.59,160.75,166.13,165.623954118,82507488,0.0000,1.0,AAPL
2022-08-02,160.1,162.41,159.63,160.01,159.52259615,59907025,0.0000,1.0,AAPL
2022-08-01,161.01,163.59,160.89,161.51,161.018027025,67829379,0.0000,1.0,AAPL
2022-07-29,161.24,163.63,159.5,162.51,162.014980941,101786860,0.0000,1.0,AAPL
2022-07-28,156.98,157.64,154.41,157.35,156.870698733,81378731,0.0000,1.0,AAPL
2022-07-27,152.58,157.33,152.16,156.79,156.31240454,78620688,0.0000,1.0,AAPL
2022-07-26,152.265,153.085,150.8,151.6,151.138213714,55138691,0.0000,1.0,AAPL
2022-07-25,154.01,155.04,152.28,152.95,152.484101501,53623945,0.0000,1.0,AAPL
2022-07-22,155.39,156.28,153.41,154.09,153.620628965,66675408,0.0000,1.0,AAPL
2022-07-21,154.5,155.57,151.94,155.35,154.8767909,65086636,0.0000,1.0,AAPL
2022-07-20,151.12,153.72,150.37,153.04,152.573827353,64823413,0.0000,1.0,AAPL
2022-07-19,147.92,151.23,146.91,151.0,150.540041364,82982367,0.0000,1.0,AAPL
2022-07-18,150.74,151.57,146.7,147.07,146.622012473,81420868,0.0000,1.0,AAPL
2022-07-15,149.78,150.86,148.2,150.17,149.712569614,76259931,0.0000,1.0,AAPL
2022-07-14,144.08,148.95,143.25,148.47,148.017747956,78140744,0.0000,1.0,AAPL
2022-07-13,142.99,146.45,142.1201,145.49,145.046825285,71185560,0.0000,1.0,AAPL
